Heading,Source,Date,Symbol
Titan Company to expand jewellery market share; grow emerging businesses,Mint,2 Jun 2024,TITAN
Titan targets market share of 10-11% in Jewellery business,CNBC TV18,6 Jun 2024,TITAN
"Titan lines up aggressive expansion plans for Tanishq, other brands: MD",Business Standard,19 Jun 2024,TITAN
Titan Company to exit belts and wallets category by next year,BusinessLine,2 Jun 2024,TITAN
From Titan - Cummins India: 3 Technical Trade Calls For The Week By Motilal Oswal,Goodreturns,19 Jun 2024,TITAN
Eyeing Rs 1 lakh cr uniform consumer price by FY27: Titan’s Venkataraman,The New Indian Express,19 Jun 2024,TITAN
Titan Co managing director: People become used to higher gold prices,Moneycontrol,10 Jun 2024,TITAN
I want to be one of the nicest guys they knew: Titan MD CK Venkataraman,The Economic Times,8 Jun 2024,TITAN
"Share Market Highlights: Sensex, Nifty ends higher! Nifty settles just 23,550, Sensex near 77,300, Realty and Banks stocks shine",Financial Express,18 Jun 2024,TITAN
"Stocks to buy: Titan, LIC Housing Finance, SAIL among 8 stocks that may rise 4-16% in the next 3-4 weeks, say analysts",Mint,18 Jun 2024,TITAN
